UserID,Age,Gender,Location,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video ID,Video Category,Video Length,Engagement,Importance Score,Time Spent On Video,Number of Videos Watched,Scroll Rate,Frequency,ProductivityLoss,Satisfaction,Watch Reason,DeviceType,OS,Watch Time,Self Control,Addiction Level,CurrentActivity,ConnectionType,AvgTimePerSession,EngagementPerVideo
11,28,1,Indonesia,76614,True,True,Manager,1,2,14,15,2690,Pranks,8,6227,4,2,19,29,Afternoon,5,5,Boredom,Smartphone,Android,5:00 PM,7,3,At home,Mobile Data,0.9333333333333333,327.7368421052632
12,41,2,Philippines,25105,False,False,Labor/Worker,0,1,129,15,7191,Life Hacks,27,3535,9,26,48,35,Evening,6,4,Habit,Tablet,Android,2:00 PM,8,2,At home,Wi-Fi,8.6,73.64583333333333
13,53,1,Japan,22839,False,False,Waiting staff,1,2,286,11,2811,Gaming,29,7004,5,4,32,70,Afternoon,5,5,Habit,Smartphone,Android,5:00 PM,7,3,At school,Mobile Data,26.0,218.875
14,57,1,Indonesia,88920,True,True,Waiting staff,1,4,27,1,6153,Vlogs,24,2913,6,8,15,23,Evening,6,4,Entertainment,Tablet,Android,2:00 PM,8,2,Commuting,Wi-Fi,27.0,194.2
15,41,2,Vietnam,63619,True,True,Cashier,1,3,207,18,13,Gaming,16,9381,9,13,5,46,Evening,6,4,Boredom,Tablet,iOS,2:00 PM,8,2,At school,Wi-Fi,11.5,1876.2
16,20,0,Philippines,62821,True,True,Students,1,3,66,12,5939,Entertainment,5,2340,7,10,11,44,Evening,6,4,Entertainment,Smartphone,MacOS,2:00 PM,8,2,At school,Mobile Data,5.5,212.72727272727272
17,39,0,Mexico,33493,False,False,Waiting staff,1,4,102,12,8000,ASMR,21,9795,5,18,15,48,Afternoon,5,5,Habit,Smartphone,iOS,5:00 PM,7,3,At home,Wi-Fi,8.5,653.0
18,19,0,Barzil,37069,False,False,Students,1,4,28,11,7220,ASMR,22,5289,2,9,29,52,Evening,6,4,Habit,Smartphone,Windows,2:00 PM,8,2,At home,Mobile Data,2.5454545454545454,182.3793103448276
19,41,2,Japan,27531,False,False,Labor/Worker,1,4,202,8,5329,Pranks,10,597,4,1,45,8,Evening,6,4,Entertainment,Smartphone,iOS,2:00 PM,8,2,At work,Mobile Data,25.25,13.266666666666667
20,61,1,United States,57051,True,True,Labor/Worker,0,2,246,7,3622,Vlogs,23,8836,2,13,4,55,Morning,8,2,Habit,Smartphone,MacOS,8:00 AM,10,0,At work,Mobile Data,35.142857142857146,2209.0
21,47,1,India,27736,False,False,Waiting staff,1,3,286,2,3684,Vlogs,13,7145,3,18,49,66,Afternoon,5,5,Habit,Tablet,iOS,5:00 PM,7,3,Commuting,Mobile Data,143.0,145.81632653061226
22,55,1,Barzil,27710,False,False,driver,1,4,236,11,7873,Entertainment,29,2902,3,15,36,77,Afternoon,5,5,Boredom,Computer,Android,5:00 PM,7,3,Commuting,Mobile Data,21.454545454545453,80.61111111111111
23,19,0,Indonesia,87155,True,False,Students,1,2,242,10,5311,Entertainment,26,6645,4,2,48,40,Night,3,7,Boredom,Smartphone,Android,9:00 PM,5,5,At work,Mobile Data,24.2,138.4375
24,38,0,India,33975,False,False,Waiting staff,0,4,49,3,653,Pranks,14,8955,6,11,23,85,Evening,6,4,Habit,Smartphone,iOS,2:00 PM,8,2,At home,Mobile Data,16.333333333333332,389.3478260869565
25,50,1,Germany,82424,True,True,Waiting staff,1,1,162,10,5800,Jokes/Memes,7,7694,3,29,15,31,Evening,6,4,Boredom,Smartphone,Android,2:00 PM,8,2,At home,Mobile Data,16.2,512.9333333333333
26,29,1,Japan,65603,True,False,Labor/Worker,0,1,136,18,8813,Jokes/Memes,29,4830,1,14,46,48,Afternoon,5,5,Entertainment,Smartphone,Android,5:00 PM,7,3,At school,Wi-Fi,7.555555555555555,105.0
27,39,1,Japan,43252,False,True,Students,1,3,246,14,3791,Gaming,20,7546,1,22,44,61,Evening,6,4,Habit,Smartphone,Android,2:00 PM,8,2,Commuting,Mobile Data,17.571428571428573,171.5
28,61,2,Vietnam,21431,False,False,Manager,0,2,64,18,1646,Life Hacks,6,7368,9,15,3,52,Night,3,7,Habit,Smartphone,iOS,9:00 PM,5,5,At home,Wi-Fi,3.5555555555555554,2456.0
29,42,0,India,94603,True,True,Labor/Worker,1,1,181,8,4513,Entertainment,7,9834,9,14,32,38,Evening,6,4,Boredom,Smartphone,MacOS,2:00 PM,8,2,At work,Mobile Data,22.625,307.3125
30,44,1,India,57481,True,False,driver,0,1,118,10,4760,Pranks,5,2160,5,16,10,91,Evening,6,4,Entertainment,Smartphone,Android,2:00 PM,8,2,At home,Wi-Fi,11.8,216.0
31,59,1,United States,29557,False,True,driver,1,2,193,13,5875,Pranks,21,5878,9,23,40,36,Morning,8,2,Habit,Smartphone,iOS,8:00 AM,10,0,At school,Wi-Fi,14.846153846153847,146.95
32,45,1,United States,94971,True,False,Students,1,4,207,8,3689,Jokes/Memes,18,7663,7,29,38,87,Afternoon,5,5,Habit,Smartphone,Android,5:00 PM,7,3,At home,Mobile Data,25.875,201.6578947368421
33,33,1,India,20162,False,True,Labor/Worker,1,2,96,4,7690,Trends,23,3749,9,15,22,55,Night,3,7,Boredom,Tablet,iOS,9:00 PM,5,5,Commuting,Mobile Data,24.0,170.4090909090909
34,32,2,Mexico,54742,True,False,Waiting staff,1,4,210,4,1380,Trends,12,2922,7,19,14,85,Evening,6,4,Entertainment,Smartphone,Android,2:00 PM,8,2,At work,Mobile Data,52.5,208.71428571428572
35,64,0,Vietnam,39675,False,True,Students,1,1,284,5,4244,Entertainment,6,6486,9,27,17,13,Evening,6,4,Entertainment,Tablet,iOS,2:00 PM,8,2,At school,Mobile Data,56.8,381.52941176470586
36,61,2,Mexico,93997,True,False,Students,0,1,220,1,9581,Jokes/Memes,27,8112,2,9,21,37,Night,3,7,Procrastination,Smartphone,Android,9:00 PM,5,5,At home,Wi-Fi,220.0,386.2857142857143
37,20,1,United States,37015,False,True,Labor/Worker,1,1,127,17,6508,Entertainment,1,8771,8,5,48,47,Night,3,7,Entertainment,Tablet,Android,9:00 PM,5,5,At home,Mobile Data,7.470588235294118,182.72916666666666
38,54,1,Philippines,70057,True,False,Students,0,3,200,2,7820,Jokes/Memes,4,3804,7,5,15,90,Afternoon,5,5,Boredom,Smartphone,iOS,5:00 PM,7,3,At school,Wi-Fi,100.0,253.6
39,24,1,Barzil,52591,True,True,Cashier,1,3,51,8,8594,Jokes/Memes,19,4878,6,11,15,71,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,At home,Mobile Data,6.375,325.2
40,38,1,Germany,29833,False,False,Students,1,3,51,7,2654,ASMR,12,2368,5,28,1,22,Afternoon,5,5,Boredom,Tablet,Android,5:00 PM,7,3,Commuting,Mobile Data,7.285714285714286,2368.0
41,26,1,Pakistan,27896,False,True,Waiting staff,0,2,285,15,5612,Comedy,15,8093,4,20,24,39,Evening,6,4,Boredom,Smartphone,Android,2:00 PM,8,2,At work,Mobile Data,19.0,337.2083333333333
42,56,1,India,52972,True,False,Students,0,1,26,5,6128,ASMR,3,3932,7,25,12,87,Evening,6,4,Habit,Smartphone,Android,2:00 PM,8,2,At school,Mobile Data,5.2,327.6666666666667
43,35,2,Indonesia,69733,True,True,Cashier,1,1,292,2,3924,Life Hacks,23,5608,3,24,10,58,Morning,8,2,Entertainment,Tablet,MacOS,8:00 AM,10,0,At home,Mobile Data,146.0,560.8
44,21,0,Pakistan,61800,True,False,Waiting staff,1,2,267,7,8460,Gaming,27,6635,8,28,46,30,Night,3,7,Entertainment,Tablet,Windows,9:00 PM,5,5,At school,Mobile Data,38.142857142857146,144.2391304347826
45,42,2,Philippines,25347,False,True,Labor/Worker,0,3,72,8,5913,Gaming,28,6395,2,4,42,18,Evening,6,4,Boredom,Smartphone,iOS,2:00 PM,8,2,Commuting,Mobile Data,9.0,152.26190476190476
46,31,0,Pakistan,79063,True,False,Waiting staff,1,2,71,7,5131,Comedy,26,6101,1,20,42,18,Evening,6,4,Procrastination,Smartphone,Windows,2:00 PM,8,2,At home,Mobile Data,10.142857142857142,145.26190476190476
47,26,1,Vietnam,22643,False,True,Labor/Worker,1,3,109,7,5440,Trends,20,9292,2,18,31,74,Afternoon,5,5,Procrastination,Smartphone,MacOS,5:00 PM,7,3,At school,Mobile Data,15.571428571428571,299.741935483871
48,43,1,Japan,60785,True,True,Students,1,1,28,14,7881,Pranks,28,9862,9,25,11,39,Night,3,7,Entertainment,Tablet,Android,9:00 PM,5,5,At work,Mobile Data,2.0,896.5454545454545
49,19,0,India,38681,False,True,Students,1,4,26,18,6450,Trends,8,5531,5,3,16,94,Evening,6,4,Boredom,Tablet,Android,2:00 PM,8,2,At school,Wi-Fi,1.4444444444444444,345.6875
50,37,1,United States,70026,True,True,Students,0,3,255,6,1726,Life Hacks,11,4970,8,4,9,26,Afternoon,5,5,Procrastination,Smartphone,iOS,5:00 PM,7,3,At home,Mobile Data,42.5,552.2222222222222
51,45,0,United States,35892,False,False,Waiting staff,1,1,260,4,9305,Entertainment,16,6344,3,14,47,71,Afternoon,5,5,Entertainment,Tablet,Windows,5:00 PM,7,3,At home,Wi-Fi,65.0,134.9787234042553
52,64,2,Mexico,67299,True,True,driver,1,1,90,10,7523,Entertainment,9,8408,7,7,14,7,Evening,6,4,Entertainment,Tablet,iOS,2:00 PM,8,2,At home,Mobile Data,9.0,600.5714285714286
53,24,1,Germany,37073,False,False,Students,1,4,48,18,4785,Pranks,3,375,2,26,19,69,Evening,6,4,Boredom,Tablet,MacOS,2:00 PM,8,2,Commuting,Mobile Data,2.6666666666666665,19.736842105263158
54,61,1,Vietnam,50682,True,False,driver,1,1,45,12,9473,Trends,5,7887,8,8,31,65,Afternoon,5,5,Procrastination,Computer,Android,5:00 PM,7,3,At work,Mobile Data,3.75,254.41935483870967
55,25,2,India,34289,False,False,Cashier,1,1,206,16,1233,Life Hacks,20,1609,7,24,9,46,Evening,6,4,Habit,Smartphone,iOS,2:00 PM,8,2,At home,Mobile Data,12.875,178.77777777777777
56,64,1,Japan,27927,False,False,Manager,1,3,167,7,8809,Life Hacks,14,2939,5,16,36,18,Night,3,7,Boredom,Smartphone,Android,9:00 PM,5,5,At home,Wi-Fi,23.857142857142858,81.63888888888889
57,52,1,Indonesia,68330,True,False,Labor/Worker,1,3,213,6,8339,Jokes/Memes,28,4062,4,20,39,13,Afternoon,5,5,Entertainment,Smartphone,Android,5:00 PM,7,3,At school,Mobile Data,35.5,104.15384615384616
58,31,1,United States,86707,True,True,Waiting staff,1,4,205,5,7447,Entertainment,26,1613,1,15,26,25,Afternoon,5,5,Habit,Smartphone,Android,5:00 PM,7,3,At home,Mobile Data,41.0,62.03846153846154
59,34,1,Vietnam,97454,True,False,Waiting staff,1,4,225,3,4617,Vlogs,15,6578,5,7,8,8,Night,3,7,Entertainment,Tablet,Android,9:00 PM,5,5,At school,Mobile Data,75.0,822.25
60,53,1,Japan,85428,True,False,driver,0,1,294,12,4726,Life Hacks,6,7851,9,26,24,74,Night,3,7,Habit,Smartphone,iOS,9:00 PM,5,5,At home,Mobile Data,24.5,327.125
61,57,0,Germany,70601,True,True,driver,1,3,205,15,3678,Entertainment,27,3679,4,17,8,32,Afternoon,5,5,Entertainment,Smartphone,iOS,5:00 PM,7,3,At home,Wi-Fi,13.666666666666666,459.875
62,21,2,United States,97465,True,True,Waiting staff,0,4,161,10,6288,Jokes/Memes,26,7540,9,22,19,17,Afternoon,5,5,Procrastination,Smartphone,Android,5:00 PM,7,3,Commuting,Wi-Fi,16.1,396.8421052631579
63,19,1,United States,22539,False,True,Waiting staff,1,4,23,19,8481,Entertainment,4,9488,2,22,47,79,Evening,6,4,Habit,Computer,Android,2:00 PM,8,2,At school,Mobile Data,1.2105263157894737,201.87234042553192
64,23,1,Vietnam,42669,False,False,Students,1,2,155,16,1410,ASMR,8,7074,4,22,48,79,Evening,6,4,Boredom,Computer,iOS,2:00 PM,8,2,Commuting,Wi-Fi,9.6875,147.375
65,59,1,United States,90968,True,False,Teacher,1,4,66,11,8206,Life Hacks,19,3996,9,12,30,48,Afternoon,5,5,Entertainment,Smartphone,Android,5:00 PM,7,3,At school,Mobile Data,6.0,133.2
66,21,2,India,40644,False,False,Teacher,1,1,220,8,257,Life Hacks,27,4786,4,18,22,63,Afternoon,5,5,Habit,Smartphone,MacOS,5:00 PM,7,3,At home,Mobile Data,27.5,217.54545454545453
67,46,2,India,38745,False,True,Cashier,1,3,277,3,1722,Gaming,5,5695,5,24,9,40,Evening,6,4,Boredom,Smartphone,Android,2:00 PM,8,2,Commuting,Mobile Data,92.33333333333333,632.7777777777778
68,35,1,Mexico,48228,False,False,Students,1,4,219,7,1424,Trends,13,9347,8,14,44,84,Evening,6,4,Boredom,Smartphone,MacOS,2:00 PM,8,2,At home,Mobile Data,31.285714285714285,212.4318181818182
69,43,1,Vietnam,54521,True,False,Artist,1,2,26,7,4954,Life Hacks,16,6998,1,15,48,15,Night,3,7,Habit,Smartphone,MacOS,9:00 PM,5,5,At home,Wi-Fi,3.7142857142857144,145.79166666666666
70,61,0,Mexico,46928,False,False,Students,1,3,295,14,2991,Gaming,1,2366,1,15,4,99,Evening,6,4,Habit,Computer,Android,2:00 PM,8,2,At home,Mobile Data,21.071428571428573,591.5
71,51,0,Vietnam,38322,False,False,Students,1,4,212,2,1196,Pranks,13,6764,9,5,37,6,Afternoon,5,5,Entertainment,Tablet,iOS,5:00 PM,7,3,At school,Mobile Data,106.0,182.8108108108108
72,27,1,Indonesia,77714,True,True,Labor/Worker,0,2,108,10,4560,Life Hacks,22,8976,9,16,8,94,Night,3,7,Boredom,Smartphone,Windows,9:00 PM,5,5,At home,Wi-Fi,10.8,1122.0
73,53,1,Vietnam,82292,True,False,Engineer,1,4,288,19,4366,Comedy,11,9273,4,5,1,63,Evening,6,4,Entertainment,Computer,Windows,2:00 PM,8,2,At school,Mobile Data,15.157894736842104,9273.0
74,31,0,Germany,49055,False,True,Waiting staff,0,3,218,9,1245,Jokes/Memes,21,1614,2,2,28,8,Night,3,7,Boredom,Smartphone,Android,9:00 PM,5,5,At home,Mobile Data,24.22222222222222,57.642857142857146
75,48,2,Philippines,62891,True,False,driver,1,3,138,16,6767,Jokes/Memes,8,4555,9,20,6,95,Night,3,7,Procrastination,Computer,MacOS,9:00 PM,5,5,At school,Mobile Data,8.625,759.1666666666666
76,32,1,United States,26588,False,True,Labor/Worker,1,3,297,19,5303,Jokes/Memes,25,2416,4,28,47,32,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,At home,Mobile Data,15.631578947368421,51.40425531914894
77,25,0,India,26304,False,False,driver,1,1,261,18,1307,Pranks,8,7288,6,25,36,45,Night,3,7,Procrastination,Smartphone,Android,9:00 PM,5,5,Commuting,Wi-Fi,14.5,202.44444444444446
78,31,1,India,27345,False,True,Labor/Worker,1,4,274,9,2403,Life Hacks,24,6862,1,9,11,52,Afternoon,5,5,Procrastination,Tablet,Android,5:00 PM,7,3,Commuting,Mobile Data,30.444444444444443,623.8181818181819
79,40,2,Japan,49300,False,False,Labor/Worker,1,1,280,16,497,Vlogs,28,3653,9,22,5,79,Evening,6,4,Boredom,Smartphone,iOS,2:00 PM,8,2,At school,Wi-Fi,17.5,730.6
80,57,1,United States,44259,False,True,driver,1,3,197,13,3400,Jokes/Memes,14,6639,5,27,24,82,Night,3,7,Habit,Tablet,Windows,9:00 PM,5,5,At school,Mobile Data,15.153846153846153,276.625
81,38,1,United States,35352,False,False,driver,1,2,223,10,910,Gaming,13,496,3,9,47,13,Evening,6,4,Habit,Smartphone,Android,2:00 PM,8,2,At home,Mobile Data,22.3,10.553191489361701
82,33,1,Pakistan,53365,True,True,Labor/Worker,0,4,292,14,373,Jokes/Memes,3,504,4,4,18,24,Afternoon,5,5,Entertainment,Smartphone,Android,5:00 PM,7,3,At school,Mobile Data,20.857142857142858,28.0
83,62,1,Philippines,39446,False,False,Students,1,1,220,12,6237,Pranks,4,7699,1,15,20,40,Evening,6,4,Entertainment,Smartphone,MacOS,2:00 PM,8,2,Commuting,Mobile Data,18.333333333333332,384.95
84,35,1,India,22336,False,True,Waiting staff,0,4,85,19,1345,Entertainment,27,5733,9,11,28,14,Afternoon,5,5,Boredom,Smartphone,Android,5:00 PM,7,3,At work,Mobile Data,4.473684210526316,204.75
85,64,1,Barzil,82032,True,False,Labor/Worker,0,2,157,7,8516,Jokes/Memes,20,8055,8,1,13,92,Night,3,7,Boredom,Tablet,iOS,9:00 PM,5,5,At home,Wi-Fi,22.428571428571427,619.6153846153846
86,41,2,India,95415,True,True,Waiting staff,1,1,222,15,2432,Life Hacks,15,3216,4,18,5,75,Night,3,7,Entertainment,Smartphone,iOS,9:00 PM,5,5,At home,Wi-Fi,14.8,643.2
87,43,0,Indonesia,27521,False,False,Engineer,1,3,118,16,4671,Trends,15,5688,2,29,30,70,Night,3,7,Habit,Computer,iOS,9:00 PM,5,5,At home,Wi-Fi,7.375,189.6
88,42,2,United States,91707,True,True,Manager,1,1,138,8,2785,Life Hacks,27,9600,9,1,1,62,Night,3,7,Entertainment,Computer,MacOS,9:00 PM,5,5,At home,Mobile Data,17.25,9600.0
89,62,0,United States,43481,False,False,Students,1,4,19,10,9408,Jokes/Memes,21,4364,4,8,22,89,Night,3,7,Boredom,Smartphone,MacOS,9:00 PM,5,5,At work,Mobile Data,1.9,198.36363636363637
90,58,0,Germany,38474,False,True,Waiting staff,1,4,56,4,1696,Jokes/Memes,13,6042,9,25,18,61,Night,3,7,Entertainment,Smartphone,Android,9:00 PM,5,5,At school,Wi-Fi,14.0,335.6666666666667
91,46,1,United States,66760,True,False,Waiting staff,1,4,105,19,1908,Jokes/Memes,9,1477,3,16,46,1,Afternoon,5,5,Boredom,Tablet,Android,5:00 PM,7,3,At school,Mobile Data,5.526315789473684,32.108695652173914
92,32,1,India,75718,True,True,Students,1,4,112,19,4815,Jokes/Memes,28,4960,7,26,5,89,Night,3,7,Boredom,Smartphone,iOS,9:00 PM,5,5,Commuting,Wi-Fi,5.894736842105263,992.0
93,62,0,India,64629,True,False,Students,1,3,155,15,781,Trends,25,2397,7,28,31,66,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,At school,Mobile Data,10.333333333333334,77.3225806451613
94,18,1,India,65232,True,True,driver,1,1,36,14,1020,Vlogs,10,8301,4,22,6,32,Night,3,7,Boredom,Tablet,iOS,9:00 PM,5,5,At work,Wi-Fi,2.5714285714285716,1383.5
95,42,2,Vietnam,87169,True,True,Manager,1,3,229,1,1404,Life Hacks,29,8841,2,18,27,13,Evening,6,4,Habit,Computer,iOS,2:00 PM,8,2,At work,Wi-Fi,229.0,327.44444444444446
96,24,2,Pakistan,70669,True,True,Students,1,3,27,16,1427,Jokes/Memes,12,6194,9,22,25,33,Morning,8,2,Habit,Smartphone,Android,8:00 AM,10,0,At home,Wi-Fi,1.6875,247.76
97,26,1,United States,98021,True,True,Students,0,3,176,10,8856,ASMR,14,7570,4,9,29,32,Evening,6,4,Boredom,Smartphone,iOS,2:00 PM,8,2,At home,Wi-Fi,17.6,261.0344827586207
98,41,0,United States,89184,True,False,Waiting staff,0,4,91,19,5869,Jokes/Memes,1,7730,8,12,28,56,Afternoon,5,5,Entertainment,Tablet,Android,5:00 PM,7,3,At work,Mobile Data,4.7894736842105265,276.07142857142856
99,18,1,India,67945,True,True,Engineer,1,4,81,3,11,ASMR,14,1499,2,19,16,24,Night,3,7,Entertainment,Smartphone,Android,9:00 PM,5,5,At work,Wi-Fi,27.0,93.6875
100,61,0,Mexico,33140,False,False,Waiting staff,0,4,263,5,6331,Pranks,14,7235,8,25,12,91,Evening,6,4,Boredom,Tablet,iOS,2:00 PM,8,2,At home,Wi-Fi,52.6,602.9166666666666
101,25,1,Germany,34357,False,False,Engineer,1,1,171,9,9231,Vlogs,8,595,5,18,20,4,Afternoon,5,5,Boredom,Tablet,Android,5:00 PM,7,3,At work,Wi-Fi,19.0,29.75
102,41,1,Germany,88673,True,False,Waiting staff,1,2,47,18,2826,Jokes/Memes,16,978,7,27,18,88,Night,3,7,Boredom,Smartphone,iOS,9:00 PM,5,5,Commuting,Mobile Data,2.611111111111111,54.333333333333336
103,28,1,India,85633,True,False,Engineer,0,4,210,11,7465,Jokes/Memes,14,730,7,5,34,23,Night,3,7,Entertainment,Smartphone,Android,9:00 PM,5,5,At school,Wi-Fi,19.09090909090909,21.470588235294116
104,34,0,Japan,96943,True,False,Engineer,1,1,209,16,3004,Gaming,1,56,9,27,23,29,Night,3,7,Habit,Tablet,Windows,9:00 PM,5,5,At work,Mobile Data,13.0625,2.4347826086956523
105,25,0,India,98258,True,True,driver,0,4,264,2,9268,Gaming,16,2243,3,2,45,98,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,At home,Mobile Data,132.0,49.84444444444444
106,52,1,Philippines,32924,False,False,Labor/Worker,1,4,188,12,7196,Comedy,18,5879,4,7,27,21,Evening,6,4,Entertainment,Smartphone,iOS,2:00 PM,8,2,At home,Mobile Data,15.666666666666666,217.74074074074073
107,52,0,Japan,89286,True,False,Labor/Worker,0,3,44,6,6721,Jokes/Memes,7,1701,4,27,49,30,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,At home,Mobile Data,7.333333333333333,34.714285714285715
108,50,1,Barzil,94071,True,True,Waiting staff,1,3,91,11,3089,Pranks,15,7229,5,10,17,90,Night,3,7,Entertainment,Smartphone,Windows,9:00 PM,5,5,At work,Wi-Fi,8.272727272727273,425.2352941176471
109,22,1,Mexico,77326,True,True,Artist,1,3,229,8,1790,Gaming,24,1286,6,15,48,20,Evening,6,4,Entertainment,Computer,Android,2:00 PM,8,2,At home,Wi-Fi,28.625,26.791666666666668
110,59,1,Germany,50651,True,True,Labor/Worker,1,1,167,12,3037,Jokes/Memes,17,8303,3,25,21,16,Night,3,7,Procrastination,Tablet,Android,9:00 PM,5,5,At work,Mobile Data,13.916666666666666,395.3809523809524
111,56,0,India,90202,True,False,Waiting staff,1,2,13,2,7378,Jokes/Memes,19,9393,4,7,40,67,Night,3,7,Entertainment,Smartphone,iOS,9:00 PM,5,5,At home,Wi-Fi,6.5,234.825
112,58,0,Barzil,68777,True,False,Labor/Worker,1,2,176,9,7599,Pranks,23,947,3,28,31,49,Evening,6,4,Habit,Smartphone,Android,2:00 PM,8,2,At home,Wi-Fi,19.555555555555557,30.548387096774192
113,45,0,Vietnam,36994,False,False,Labor/Worker,1,1,213,15,4839,Jokes/Memes,13,4121,2,5,3,58,Evening,6,4,Procrastination,Smartphone,Android,2:00 PM,8,2,At work,Mobile Data,14.2,1373.6666666666667
114,24,1,Indonesia,87263,True,True,Teacher,1,4,203,2,5873,Jokes/Memes,9,6553,9,15,17,44,Evening,6,4,Boredom,Computer,Windows,2:00 PM,8,2,At home,Wi-Fi,101.5,385.47058823529414
115,26,1,United States,79634,True,False,Students,1,1,244,1,3654,Entertainment,24,757,1,20,26,25,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,At school,Mobile Data,244.0,29.115384615384617
116,25,1,Barzil,30800,False,False,Students,0,4,215,10,4300,Life Hacks,24,5651,2,28,23,23,Night,3,7,Boredom,Smartphone,iOS,9:00 PM,5,5,At school,Mobile Data,21.5,245.69565217391303
117,29,0,Philippines,57823,True,False,Cashier,1,1,159,2,9269,Entertainment,15,7273,8,20,6,59,Evening,6,4,Habit,Smartphone,Android,2:00 PM,8,2,At work,Wi-Fi,79.5,1212.1666666666667
118,51,1,United States,83878,True,False,driver,1,1,168,12,974,Life Hacks,25,3535,7,15,28,1,Evening,6,4,Habit,Smartphone,iOS,2:00 PM,8,2,At work,Wi-Fi,14.0,126.25
119,50,2,India,38708,False,True,Labor/Worker,1,1,288,8,7084,Life Hacks,26,2293,1,10,8,97,Evening,6,4,Habit,Smartphone,Android,2:00 PM,8,2,At work,Mobile Data,36.0,286.625
120,40,0,Pakistan,32819,False,False,Engineer,1,2,175,5,5495,Gaming,3,1104,5,24,45,15,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,At home,Wi-Fi,35.0,24.533333333333335
121,41,2,Vietnam,94905,True,True,Labor/Worker,1,3,77,1,9492,Life Hacks,24,8853,6,26,8,81,Night,3,7,Habit,Tablet,Android,9:00 PM,5,5,At work,Mobile Data,77.0,1106.625
122,54,2,Barzil,83870,True,False,Labor/Worker,1,1,97,15,3407,Gaming,1,908,5,29,19,98,Night,3,7,Habit,Tablet,iOS,9:00 PM,5,5,At home,Mobile Data,6.466666666666667,47.78947368421053
123,52,0,Mexico,29283,False,True,Artist,0,2,226,6,5151,Trends,16,6539,4,26,38,81,Evening,6,4,Habit,Smartphone,iOS,2:00 PM,8,2,Commuting,Mobile Data,37.666666666666664,172.07894736842104
124,61,2,India,50573,True,False,Waiting staff,1,3,10,12,9351,Comedy,8,4617,1,14,29,52,Evening,6,4,Boredom,Smartphone,Windows,2:00 PM,8,2,At home,Wi-Fi,0.8333333333333334,159.20689655172413
